Date,Close,Return
8/8/16,108.370003,0
8/9/16,108.809998,0.004060118
8/10/16,108,-0.00744415
8/11/16,107.93,-0.000648148
8/12/16,108.18,0.002316316
8/15/16,109.480003,0.012017036
8/16/16,109.379997,-0.000913464
8/17/16,109.220001,-0.001462754
8/18/16,109.080002,-0.001281807
8/19/16,109.360001,0.002566914
8/22/16,108.510002,-0.007772485
8/23/16,108.849998,0.003133315
8/24/16,108.029999,-0.007533294
8/25/16,107.57,-0.004258067
8/26/16,106.940002,-0.005856633
8/29/16,106.82,-0.001122143
8/30/16,106,-0.007676465
8/31/16,106.099998,0.000943377
9/1/16,106.730003,0.005937842
9/2/16,107.730003,0.009369437
9/6/16,107.699997,-0.00027853
9/7/16,108.360001,0.006128171
9/8/16,105.519997,-0.02620897
9/9/16,103.129997,-0.022649735
9/12/16,105.440002,0.022398963
9/13/16,107.949997,0.02380496
9/14/16,111.769997,0.035386754
9/15/16,115.57,0.033998417
9/16/16,114.919998,-0.005624314
9/19/16,113.580002,-0.011660251
9/20/16,113.57,-8.80613E-05
9/21/16,113.550003,-0.000176076
9/22/16,114.620003,0.009423161
9/23/16,112.709999,-0.016663793
9/26/16,112.879997,0.001508278
9/27/16,113.089996,0.001860374
9/28/16,113.949997,0.007604572
9/29/16,112.18,-0.015533103
9/30/16,113.050003,0.00775542
10/3/16,112.519997,-0.004688244
10/4/16,113,0.004265935
10/5/16,113.050003,0.000442504
10/6/16,113.889999,0.007430305
10/7/16,114.059998,0.00149266
10/10/16,116.050003,0.017447002
10/11/16,116.300003,0.002154244
10/12/16,117.339996,0.00894233
10/13/16,116.980003,-0.003067948
10/14/16,117.629997,0.005556454
10/17/16,117.550003,-0.000680048
10/18/16,117.470001,-0.000680578
10/19/16,117.120003,-0.002979467
10/20/16,117.059998,-0.000512338
10/21/16,116.599998,-0.003929609
10/24/16,117.650002,0.00900518
10/25/16,118.25,0.005099855
10/26/16,115.589996,-0.022494748
10/27/16,114.480003,-0.009602847
10/28/16,113.720001,-0.006638731
10/31/16,113.540001,-0.001582835
11/1/16,111.489998,-0.018055337
11/2/16,111.589996,0.000896924
11/3/16,109.830002,-0.015771969
11/4/16,108.839996,-0.009013985
11/7/16,110.410004,0.014424918
11/8/16,111.059998,0.005887093
11/9/16,110.879997,-0.001620755
11/10/16,107.790001,-0.02786793
11/11/16,108.43,0.005937462
11/14/16,105.709999,-0.025085318
11/15/16,107.110001,0.013243799
11/16/16,109.989998,0.026888217
11/17/16,109.949997,-0.000363679
11/18/16,110.059998,0.001000464
11/21/16,111.730003,0.015173587
11/22/16,111.800003,0.00062651
11/23/16,111.230003,-0.00509839
11/25/16,111.790001,0.005034595
11/28/16,111.57,-0.001967985
11/29/16,111.459999,-0.000985937
11/30/16,110.519997,-0.008433537
12/1/16,109.489998,-0.009319571
12/2/16,109.900002,0.003744671
12/5/16,109.110001,-0.007188362
12/6/16,109.949997,0.007698616
12/7/16,111.029999,0.009822665
12/8/16,112.120003,0.009817203
12/9/16,113.949997,0.016321744
12/12/16,113.300003,-0.005704204
12/13/16,115.190002,0.016681368
12/14/16,115.190002,0
12/15/16,115.82,0.005469207
12/16/16,115.970001,0.001295122
12/19/16,116.639999,0.005777339
12/20/16,116.949997,0.002657733
12/21/16,117.059998,0.000940581
12/22/16,116.290001,-0.006577798
12/23/16,116.519997,0.00197778
12/27/16,117.260002,0.006350884
12/28/16,116.760002,-0.004264029
12/29/16,116.730003,-0.000256929
12/30/16,115.82,-0.007795794
1/3/17,116.150002,0.002849266
1/4/17,116.019997,-0.001119285
1/5/17,116.610001,0.005085365
1/6/17,117.910004,0.011148298
1/9/17,118.989998,0.009159477
1/10/17,119.110001,0.001008513
1/11/17,119.75,0.005373176
1/12/17,119.25,-0.004175365
1/13/17,119.040001,-0.001760998
1/17/17,120,0.008064508
1/18/17,119.989998,-8.335E-05
1/19/17,119.779999,-0.001750138
1/20/17,120,0.001836709
1/23/17,120.080002,0.000666683
1/24/17,119.970001,-0.000916064
1/25/17,121.879997,0.015920613
1/26/17,121.940002,0.000492329
1/27/17,121.949997,8.19665E-05
1/30/17,121.629997,-0.002624026
1/31/17,121.349998,-0.002302055
2/1/17,128.75,0.060980652
2/2/17,128.529999,-0.001708746
2/3/17,129.080002,0.00427918
2/6/17,130.289993,0.009373962
2/7/17,131.529999,0.009517277
2/8/17,132.039993,0.003877397
2/9/17,132.419998,0.002877954
2/10/17,132.119995,-0.002265541
2/13/17,133.289993,0.008855571
2/14/17,135.020004,0.012979301
2/15/17,135.509995,0.003629025
2/16/17,135.350006,-0.001180644
2/17/17,135.720001,0.002733616
2/21/17,136.699997,0.007220719
2/22/17,137.110001,0.002999298
2/23/17,136.529999,-0.004230195
2/24/17,136.660004,0.000952208
2/27/17,136.929993,0.001975626
2/28/17,136.990005,0.000438268
3/1/17,139.789993,0.02043936
3/2/17,138.960007,-0.005937378
3/3/17,139.779999,0.005900921
3/6/17,139.339996,-0.003147825
3/7/17,139.520004,0.001291862
3/8/17,139,-0.003727093
3/9/17,138.679993,-0.002302209
3/10/17,139.139999,0.003317032
3/13/17,139.199997,0.000431206
3/14/17,138.990005,-0.001508563
3/15/17,140.460007,0.010576314
3/16/17,140.690002,0.001637441
3/17/17,139.990005,-0.004975457
3/20/17,141.460007,0.010500764
3/21/17,139.839996,-0.011452078
3/22/17,141.419998,0.011298642
3/23/17,140.919998,-0.003535568
3/24/17,140.639999,-0.001986936
3/27/17,140.880005,0.001706527
3/28/17,143.800003,0.020726845
3/29/17,144.119995,0.002225257
3/30/17,143.929993,-0.00131836
3/31/17,143.660004,-0.001875836
4/3/17,143.699997,0.000278386
4/4/17,144.770004,0.007446117
4/5/17,144.020004,-0.005180631
4/6/17,143.660004,-0.002499653
4/7/17,143.339996,-0.002227537
4/10/17,143.169998,-0.001185977
4/11/17,141.630005,-0.010756395
4/12/17,141.800003,0.001200297
4/13/17,141.050003,-0.00528914
4/17/17,141.830002,0.005529947
4/18/17,141.199997,-0.004441973
4/19/17,140.679993,-0.003682748
4/20/17,142.440002,0.012510727
4/21/17,142.270004,-0.001193471
4/24/17,143.639999,0.009629542
4/25/17,144.529999,0.006196046
4/26/17,143.679993,-0.005881173
4/27/17,143.789993,0.00076559
4/28/17,143.649994,-0.000973635
5/1/17,146.580002,0.020396854
5/2/17,147.509995,0.00634461
5/3/17,147.059998,-0.00305062
5/4/17,146.529999,-0.003603964
5/5/17,148.960007,0.016583689
5/8/17,153.009995,0.027188425
5/9/17,153.990005,0.006404876
5/10/17,153.259995,-0.004740632
5/11/17,153.949997,0.004502166
5/12/17,156.100006,0.013965632
5/15/17,155.699997,-0.002562518
5/16/17,155.470001,-0.001477174
5/17/17,150.25,-0.033575616
5/18/17,152.539993,0.015241218
5/19/17,153.059998,0.003408975
5/22/17,153.990005,0.006076094
5/23/17,153.800003,-0.001233859
5/24/17,153.339996,-0.002990943
5/25/17,153.869995,0.003456365
5/26/17,153.610001,-0.001689699
5/30/17,153.669998,0.00039058
5/31/17,152.759995,-0.0059218
6/1/17,153.179993,0.002749398
6/2/17,155.449997,0.014819194
6/5/17,153.929993,-0.00977809
6/6/17,154.449997,0.003378185
6/7/17,155.369995,0.005956607
6/8/17,154.990005,-0.00244571
6/9/17,148.979996,-0.038776752
6/12/17,145.419998,-0.023895812
6/13/17,146.589996,0.008045647
6/14/17,145.160004,-0.009755045
6/15/17,144.289993,-0.005993462
6/16/17,142.270004,-0.013999509
6/19/17,146.339996,0.02860752
6/20/17,145.009995,-0.009088431
6/21/17,145.869995,0.005930626
6/22/17,145.630005,-0.001645232
6/23/17,146.279999,0.004463325
6/26/17,145.820007,-0.003144599
6/27/17,143.729996,-0.014332814
6/28/17,145.830002,0.014610771
6/29/17,143.679993,-0.014743256
6/30/17,144.020004,0.002366446
7/3/17,143.5,-0.003610637
7/5/17,144.089996,0.00411147
7/6/17,142.729996,-0.009438546
7/7/17,144.179993,0.010159021
7/10/17,145.059998,0.006103517
7/11/17,145.529999,0.003240046
7/12/17,145.740005,0.001443043
7/13/17,147.770004,0.013928907
7/14/17,149.039993,0.008594363
7/17/17,149.559998,0.00348903
7/18/17,150.080002,0.003476892
7/19/17,151.020004,0.006263339
7/20/17,150.339996,-0.004502768
7/21/17,150.270004,-0.000465558
7/24/17,152.089996,0.012111479
7/25/17,152.740005,0.004273845
7/26/17,153.460007,0.004713906
7/27/17,150.559998,-0.01889749
7/28/17,149.5,-0.007040369
7/31/17,148.729996,-0.005150528
8/1/17,150.050003,0.00887519
8/2/17,157.139999,0.047250889
8/3/17,155.570007,-0.00999104
8/4/17,156.389999,0.005270887
8/7/17,158.809998,0.015474129
